,rank,finalWorth,age,selfMade,is_male,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
419,418,6100,79.0,False,True,-828784800.0,1943.0,9.0,28.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
420,418,6100,72.0,False,True,-599652000.0,1951.0,1.0,1.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
424,425,6000,64.0,True,True,-342871200.0,1959.0,2.0,20.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
425,425,6000,46.0,True,True,227628000.0,1977.0,3.0,20.0,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
426,425,6000,85.0,True,True,-1008928800.0,1938.0,1.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
427,425,6000,74.0,True,True,-658576800.0,1949.0,2.0,18.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
428,425,6000,63.0,True,True,-326714400.0,1959.0,8.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
429,425,6000,65.0,True,True,-378727200.0,1958.0,1.0,1.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
430,425,6000,88.0,False,True,-1109757600.0,1934.0,11.0,2.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
432,425,6000,92.0,True,True,-1236938400.0,1930.0,10.0,22.0,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
433,425,6000,76.0,True,True,-741520800.0,1946.0,7.0,4.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
434,425,6000,71.0,True,True,-583927200.0,1951.0,7.0,2.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
435,425,6000,85.0,True,True,-1019815200.0,1937.0,9.0,8.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
436,437,5900,60.0,True,True,-220960800.0,1963.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
437,437,5900,93.0,False,True,-1254560400.0,1930.0,4.0,1.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
438,437,5900,61.0,True,True,-274356000.0,1961.0,4.0,23.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
439,437,5900,62.0,True,True,-291031200.0,1960.0,10.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
440,437,5900,66.0,False,True,-409053600.0,1957.0,1.0,15.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
441,442,5800,58.0,True,True,-158061600.0,1964.0,12.0,29.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
442,442,5800,75.0,False,True,-700221600.0,1947.0,10.0,25.0,110.35,0.8,348078018464,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
443,442,5800,70.0,True,True,-549972000.0,1952.0,7.0,29.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
444,445,5700,56.0,True,True,-103543200.0,1966.0,9.0,21.0,281.66,7.9,153781069118,82.7,99.0,71.6,20.1,45.2,44385155.0,48.379433,31.16558
445,445,5700,88.0,True,True,-1113904800.0,1934.0,9.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
447,445,5700,93.0,False,True,-1262336400.0,1930.0,1.0,1.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
448,445,5700,71.0,False,True,-580989600.0,1951.0,8.0,5.0,110.51,1.8,530832908738,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
449,445,5700,77.0,False,True,-758714400.0,1945.0,12.0,17.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
451,445,5700,51.0,False,True,57852000.0,1971.0,11.0,2.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
452,445,5700,59.0,False,True,-181562400.0,1964.0,4.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
453,445,5700,56.0,False,True,-106999200.0,1966.0,8.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
454,455,5600,41.0,False,False,382802400.0,1982.0,2.0,18.0,101.87,0.2,209852761469,136.6,99.6,81.3,26.2,51.9,10716322.0,39.074208,21.824312
455,455,5600,79.0,False,True,-843904800.0,1943.0,4.0,6.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
456,455,5600,52.0,True,True,28821600.0,1970.0,12.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
457,455,5600,81.0,False,True,-878205600.0,1942.0,3.0,5.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
458,455,5600,87.0,True,True,-1082282400.0,1935.0,9.0,16.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
459,455,5600,56.0,True,True,-94730400.0,1967.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
460,455,5600,65.0,False,False,-378208800.0,1958.0,1.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
461,455,5600,69.0,False,True,-513338400.0,1953.0,9.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
